Q9UKT9 ENST00000346872
Q9NXB0 ENST00000393119
Q9UL59 ENST00000536068
P54852 ENST00000270221
P28566 ENST00000305344
Q9UKT8 ENST00000340778
Q9UL58 ENST00000414517
P54851 ENST00000536829
Q9UKT7 ENST00000355619
P28562 ENST00000239223
Q9NXB9 ENST00000354666
A6NDB9 ENST00000340790
P15248 ENST00000274520
Q8WXC6 ENST00000307266
Q6YHU6 ENST00000405975
P54855 ENST00000338206
Q8WXC3 ENST00000302964
Q86XE3 ENST00000318063
P40200 ENST00000283285
Q86XE0 ENST00000308342
P16581 ENST00000333360
Q9UL62 ENST00000262839
A4D1S0 ENST00000340940
Q9UKU0 ENST00000296869
Q9UKU6 ENST00000261180
Q86XE5 ENST00000370646
Q9UL63 ENST00000352689
Q496F6 ENST00000328630
Q8WXB1 ENST00000448007
Q9NXC2 ENST00000379287
P30874 ENST00000357585
Q9UKU9 ENST00000373425
Q9UL68 ENST00000399161
P30876 ENST00000381227
Q9UKU7 ENST00000281182
Q9NXC5 ENST00000405785
P52209 ENST00000270776
P53539 ENST00000353609
P54868 ENST00000369406
Q8WXB4 ENST00000341164
P15259 ENST00000297283
P30872 ENST00000267377
P42857 ENST00000513829
Q96QZ7 ENST00000402939
P42858 ENST00000355072
P39210 ENST00000380044
Q8WXA9 ENST00000334121
P15260 ENST00000367739
P16591 ENST00000281092
Q9UKV3 ENST00000262710
Q86XD8 ENST00000344646
Q9UKV0 ENST00000441542
Q86XD5 ENST00000443739
Q9UKV5 ENST00000290649
Q9NXD2 ENST00000435680
A4D1P6 ENST00000354475
Q9UKV8 ENST00000220592
Q5BKY1 ENST00000361484
Q8WXA8 ENST00000318351
Q6YI46 ENST00000458549
Q96QZ0 ENST00000284288
Q8WXA3 ENST00000388768
Q8WXA2 ENST00000305738
Q5BKY9 ENST00000445716
Q9Y6A1 ENST00000372228
P16562 ENST00000339139
Q9Y6A2 ENST00000261835
Q9Y6A9 ENST00000233025
Q9UKW4 ENST00000527011
Q9Y6A5 ENST00000313288
Q9Y6A4 ENST00000262498
Q9UKW6 ENST00000312319
Q496H8 ENST00000339176
P54886 ENST00000371224
Q9NXE4 ENST00000431183
Q13702 ENST00000298854
Q9NXE8 ENST00000225428
Q86XA9 ENST00000389961
A8MVS5 ENST00000592854
Q5BKZ1 ENST00000340281
Q13705 ENST00000352511
Q9Y6B2 ENST00000530028
Q9UKX5 ENST00000423218
Q9UKX3 ENST00000418404
Q9UKX2 ENST00000245503
Q9Y6B6 ENST00000402673
P27216 ENST00000262219
Q9NXF1 ENST00000374902
Q9UKX7 ENST00000347635
P42830 ENST00000296027
Q05BV3 ENST00000554922
Q9Y6B7 ENST00000256658
Q9UKP5 ENST00000381055
Q96RA2 ENST00000344248
Q9UL15 ENST00000337322
Q8WXG6 ENST00000311027
Q9UKP3 ENST00000373829
Q9UL12 ENST00000439388
Q9UL19 ENST00000255688
Q8WXG1 ENST00000382040
Q9Y5Y6 ENST00000278742
Q9Y5Y5 ENST00000241041
Q9UL18 ENST00000373204
Q9UL17 ENST00000177694
Q9Y5Y7 ENST00000256178
Q9UKP6 ENST00000313135
Q9UL16 ENST00000368099
Q8WXG9 ENST00000405460
